is_alter	AUH_intron_down	CPSF6_intron_down	CSTF2T_intron_down	DDX3X_intron_down	DDX42_intron_down	DGCR8_intron_down	EIF4G2_intron_down	FAM120A_intron_down	FMR1_intron_down	FXR1_intron_down	FXR2_intron_down	GNL3_intron_down	GTF2F1_intron_down	HNRNPA1_intron_down	HNRNPK_intron_down	HNRNPM_intron_down	HNRNPU_intron_down	HNRNPUL1_intron_down	IGF2BP1_intron_down	IGF2BP2_intron_down	ILF3_intron_down	KHDRBS1_intron_down	KHSRP_intron_down	LARP7_intron_down	LIN28B_intron_down	LSM11_intron_down	NONO_intron_down	NPM1_intron_down	PRPF8_intron_down	PTBP1_intron_down	RBM22_intron_down	RBM27_intron_down	SAFB2_intron_down	SBDS_intron_down	SLBP_intron_down	SLTM_intron_down	SMNDC1_intron_down	SND1_intron_down	SRSF1_intron_down	TAF15_intron_down	TARDBP_intron_down	TNRC6A_intron_down	TRA2A_intron_down	TROVE2_intron_down	U2AF1_intron_down	U2AF2_intron_down	XRN2_intron_down	YWHAG_intron_down	AUH_intron_up	CPSF6_intron_up	CSTF2T_intron_up	DDX3X_intron_up	DDX42_intron_up	DGCR8_intron_up	EIF4G2_intron_up	FAM120A_intron_up	FMR1_intron_up	FXR1_intron_up	FXR2_intron_up	GNL3_intron_up	GTF2F1_intron_up	HNRNPA1_intron_up	HNRNPK_intron_up	HNRNPM_intron_up	HNRNPU_intron_up	HNRNPUL1_intron_up	IGF2BP1_intron_up	IGF2BP2_intron_up	ILF3_intron_up	KHDRBS1_intron_up	KHSRP_intron_up	LARP7_intron_up	LIN28B_intron_up	LSM11_intron_up	NONO_intron_up	NPM1_intron_up	PRPF8_intron_up	PTBP1_intron_up	RBM22_intron_up	RBM27_intron_up	SAFB2_intron_up	SBDS_intron_up	SLBP_intron_up	SLTM_intron_up	SMNDC1_intron_up	SND1_intron_up	SRSF1_intron_up	TAF15_intron_up	TARDBP_intron_up	TNRC6A_intron_up	TRA2A_intron_up	TROVE2_intron_up	U2AF1_intron_up	U2AF2_intron_up	XRN2_intron_up	YWHAG_intron_up	AUH_exon	CPSF6_exon	CSTF2T_exon	DDX3X_exon	DDX42_exon	DGCR8_exon	EIF4G2_exon	FAM120A_exon	FMR1_exon	FXR1_exon	FXR2_exon	GNL3_exon	GTF2F1_exon	HNRNPA1_exon	HNRNPK_exon	HNRNPM_exon	HNRNPU_exon	HNRNPUL1_exon	IGF2BP1_exon	IGF2BP2_exon	ILF3_exon	KHDRBS1_exon	KHSRP_exon	LARP7_exon	LIN28B_exon	LSM11_exon	NONO_exon	NPM1_exon	PRPF8_exon	PTBP1_exon	RBM22_exon	RBM27_exon	SAFB2_exon	SBDS_exon	SLBP_exon	SLTM_exon	SMNDC1_exon	SND1_exon	SRSF1_exon	TAF15_exon	TARDBP_exon	TNRC6A_exon	TRA2A_exon	TROVE2_exon	U2AF1_exon	U2AF2_exon	XRN2_exon	YWHAG_exon
FALSE	0	1	2	1	0	0	0	2	0	2	1	0	0	0	0	2	0	0	0	0	0	2	0	0	4	2	0	1	1	1	2	0	0	0	0	0	4	2	0	1	2	0	0	1	0	0	0	4	2	2	0	2	1	0	4	1	4	2	3	2	3	3	0	3	2	0	0	4	0	0	2	2	4	1	4	4	2	0	2	0	2	0	0	0	3	1	4	4	3	2	3	2	1	2	1	2	2	3	4	1	1	1	2	2	2	3	3	1	3	1	0	2	1	2	0	2	1	0	0	1	4	2	2	3	1	1	2	0	2	0	0	0	3	3	2	4	3	1	2	2	1	2	2	2
FALSE	0	3	0	4	3	2	0	1	0	5	4	3	4	2	0	1	0	3	2	7	4	7	5	0	5	3	4	4	0	1	5	2	3	0	0	4	2	4	0	4	2	1	0	4	1	0	1	5	0	2	4	8	3	3	7	2	7	2	5	7	3	6	0	4	4	0	1	7	2	2	4	4	3	3	4	4	3	5	4	2	2	0	3	6	3	2	4	5	5	3	3	4	6	4	6	4	0	5	1	10	3	6	4	1	3	4	5	9	3	4	0	2	5	1	2	8	3	7	1	2	3	4	4	6	0	3	2	3	3	3	3	6	1	7	1	7	3	3	1	5	4	5	2	6
TRUE	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	1	2	0	0	0	0	4	2	0	0	0	0	0	2	1	0	2	1	0	0	0	2	0	4	4	0	0	0	1	0	2	1	0	0	2	4	2	1	1	0	1	0	0	1	0	3	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	0	2	3	0	2	1	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	2	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1
FALSE	0	3	0	0	0	0	3	0	0	4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	1	1	1	0	0	1	0	0	0	0	2	4	0	4	0	4	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	1	0	0	4	3	6	8	5	0	0	0	0	0	0	0	4	3	0	0	0	0	4	0	0	2	1	3	0	0	2	0	0	1	0	2	5	0	2	2	8	0	2	2	0	4
FALSE	0	2	5	5	6	4	0	4	2	2	2	2	5	7	9	12	8	8	5	6	6	1	1	0	10	4	8	2	0	9	2	6	0	0	0	3	2	5	0	0	1	0	1	3	4	7	2	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	0	0	2	4	4	3	3	2	3	2	2	3	1	2	1	0	3	1	3	3	3	0	2	2	2	2	2	2	1	2	0	1	0	1	2	0	4	3	0	4	6	1	2	1	2	3	2	3	1
FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	2	1	0	0	2	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0
TRUE	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	3	1	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
FALSE	1	0	3	0	2	1	2	0	3	0	0	0	1	1	4	4	0	3	1	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	2	1	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	1	5	9	2	2	3	3	15	0	3	2	1	11	13	5	3	17	3	5	10	0	2	0	0	9	3	2	1	0	4	0	5	1	0	1	5	2	2	3	8	4	2	1	5	5	6	5	2
FALSE	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	1	0	4	2	2	0	0	0	0	1	0	0	0	0	0	0	0	1	6	0	0	1	1	0	0	0	1	0	1	0	2	2	0	0	1	1	2	0	0	2	0	1
FALSE	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0
FALSE	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	2	2	0	1	1	0	0	1	1	0	0	0	2
FALSE	0	2	0	0	0	0	0	1	4	4	4	0	0	0	0	2	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4	4	0	1	1	4	0	1	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	2	3	2	1	0	1	1	2	4	3	3	2	0	0	0	3	0	1	2	3	0	2	0	0	2	2	0	0	0	1	0	0	1	0	0	1	2	3	3	0	2	1	3	1	2	3	2	1
FALSE	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	1	0	0	0	1	0	0	0	0	4	2	0	1	0	1	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	1	2	2	2	0	1	0	0	0	0	2	3	0	7	0	3	0	1	2	0	0	0	2	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	1	0	0	1	0	0	0	1	2	2	2	2	0	2	0	2	2	0	1
FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0
FALSE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	4	0	3	1	0	2	0	4	5	4	2	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	3	1	0	0	4	0	0	0	0	0	0	4	1	0	4	0	4	3	4	4	2	2	0	0	0	0	1	2	2	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	1	3	5	0	0	0	4	0	0	1	0	4
FALSE	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	1	0	1	2	3	7	1	0	0	3	0	0	2	2	3	4	0	1	0	0	3	0	1	0	0	0	0	0	2	0	0	0	0	1	4	1	2	1	5	3	2	2	1	1
TRUE	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	1	1	0	3	0	0	0	1	2	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FALSE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	1	0	3	0	0	0	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	2	4	0	0	0	1	0	0	2	0	0	1	0	3	0	2	0	2	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	2	0	0	1	0	1	1	4	0	1	1	1	0
FALSE	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	1	4	0	1	0	0	1	3	1	0	1	0	0	0	0	0	1	0	1	3	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	3	0	0	0	1	0
FALSE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	15	0	2	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	1	0	2	0	0	3	0	0	0	2	0	2	1	0	1	0	0	2	0	0	1	2	0	0	1	2	0	0	1	2	5	0	2	0	0	1	0	0	0	1	2	0	0	1	1	0	2	1	1	1	2	0	0	2	0	0
FALSE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
FALSE	0	1	0	3	1	0	2	2	0	2	0	0	0	2	0	0	1	2	2	0	0	1	1	0	4	0	0	0	0	2	0	0	3	0	0	0	1	4	0	3	1	2	0	4	2	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	2	4	0	3	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1	3	0	1	0	2	0	3	0	0	1	1	4	3	0	1	0	0	3	2	0	0	0	1	1	1	1	0	0	0	2	3	2	3	2	2	0	1	0	0	0	0
FALSE	0	0	0	0	0	0	0	1	0	4	0	0	1	1	0	0	0	1	0	0	0	0	5	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	1	0	0	0	0	1	1	0	1	0	0	2	1	1	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	2	0	0	2	0	0	1	1	0	0	1	2	0	5	2	0	0	3	0	5	6	2	0	1	1	2	1	0	0	3	3	5	7	4	3	3	2	0	2	1	1	2	0	0	1	0	1	2	3	0	2	1	3	0	1	1	0	0	3	0	2	3	2	2	1	2	2	2	2	2	0
FALSE	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	3	0	1	1	0	0	0	2	1	3	0	2	2	0	1	0	0	2	0	1	2	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	4	0	4	3	0	0	0	0	2	1	1	1	2	1	4	1	3	2	2	2	0	1	1	0	3	3	1	3	0	2	2	0	2	1	0	1	0	0	1	0	0	2	2	2	2	2	1	1	3	1	3	4	0	1
FALSE	0	3	0	4	1	1	3	0	3	4	2	1	0	0	3	0	0	1	0	3	8	1	2	0	3	2	1	2	3	2	1	0	0	0	0	1	7	0	2	2	1	2	1	4	2	6	1	0	2	2	14	1	1	6	3	11	1	0	2	0	16	4	0	3	12	5	2	1	0	0	0	2	0	1	5	0	3	0	0	2	5	0	0	4	1	0	1	2	0	0	1	3	0	1	4	1	0	6	9	10	2	4	2	4	3	4	2	1	2	0	0	9	3	0	2	5	0	1	0	0	3	2	7	2	5	0	1	4	1	0	0	3	4	3	8	0	0	3	2	4	1	6	5	2
TRUE	0	2	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	3	1	2	0	1	0	2	6	1	0	0	0	5	1	0	0	1	0	0	0	0	0	0	2	0	4	0	1	0	0	1	0	4	0	1	0	3	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	7	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	3	0	0	0	2	0	1	1	0	0
FALSE	1	3	0	6	3	0	1	0	1	4	2	2	0	2	1	1	0	0	0	2	0	0	1	2	4	0	0	0	2	2	4	1	0	2	0	2	1	0	3	1	4	2	3	2	4	6	2	2	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	17	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	2	0	0	1	2	0	2	0	0	2	0	2	2	2	2	2	1	0	1	0	0	0	2	0	1	0	1	0	0	0	1	0	2	0	0	1	0	2	2	0	2	4	3	5	1	4	0	0	1	0	2
FALSE	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	1	2	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	1	0	0	0	1	0
FALSE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	2	0	7	4	0	3	1	4	1	1	1	13	0	0	2	0	1	2	3	4	2	3	0	0	1	4	4	3	1	2	1	2	0	3	4	1	0	0	1	0	0	0	0	1	3	1	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	3	3	0	0	0	1	0	1	1	0	0	1	2	4	2	0	1	0	2	0	2	2	0	1
FALSE	0	0	2	1	0	0	0	0	1	1	0	0	1	1	0	1	0	4	0	0	0	2	11	0	0	0	0	1	2	1	1	1	0	0	0	0	1	1	0	2	0	0	0	0	2	4	0	0	0	1	0	1	0	1	2	0	0	1	0	0	2	4	1	2	0	1	2	0	10	2	7	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	2	4	0	0	4	0	3	2	0	0	1	0	1	1	1	1	0	1	2	2	0	1	2	0	1	1	2	0	0	0	1	1	0	1	2	0	0	0	0	0	1	1	0	0	2	1	2	2	3	0	1	1	1	1	2	0	1
FALSE	6	2	2	0	2	1	3	0	3	4	2	8	1	13	12	7	11	4	0	7	6	14	16	0	2	1	3	5	5	7	2	1	6	2	0	4	2	2	6	3	7	2	1	2	4	7	5	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	1	0	2	1	0	0	0	1	2	0	2	1	0	0	0	0	0	0	0	0	3	0	3	1	1	2	0	1	4	3	4	3	1	0	1	2	0	4	4	3	4	0	4	4	3	2	4	1	3	1	3	2	2	1	3	3	6	5	6	4	3	3	4	2	2	2	3
FALSE	2	1	0	3	3	0	2	2	4	0	4	1	4	0	0	3	1	1	1	4	0	2	1	0	1	0	0	2	2	3	3	2	2	1	2	4	3	1	4	2	2	2	4	2	3	2	3	4	0	2	0	2	2	1	3	3	2	0	3	3	2	2	0	1	5	2	3	4	2	4	7	1	1	3	0	2	1	2	0	0	2	0	0	4	2	4	4	3	2	0	3	0	0	1	2	4	1	2	1	4	2	2	4	3	3	2	4	2	3	3	0	2	2	2	3	4	3	5	0	1	2	4	1	3	0	3	0	1	2	2	2	4	4	4	6	4	5	2	5	2	2	2	4	3
FALSE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	3	2	0	0	0	0	0	2	2	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	2	1	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	2	2	0	2	2	1	0	0	0	0	0	0
FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	1	0	1	0	1	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	3	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	2	2	0	1	2	2	0	0	2	1	0
FALSE	0	0	4	1	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	1	3	3	0	0	1	4	0	0	0	1	0	1	0	0	2	0	5	2	0	2	1	3	0	2	3	16	0	5	1	1	0	1	8	0	0	2	0	2	0	0	2	0	3	4	0	0	5	0	7	1	0	0	1	3	5	0	0	0	0	3	4	5	0	1	1	0	1	1	0	3	3	0	0	0	0	2	1	1	0	1	0	1	0	2	0	0	2	1	0	3	5	0	1	0	1	0	2	0	0
FALSE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	2	1	2	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	1	0	3	0	4	6	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	3	0	2	0	3	0	2	3	0	1
FALSE	1	0	0	4	2	0	0	1	4	2	4	0	2	1	0	2	1	0	2	4	2	1	3	0	4	0	0	0	1	0	2	0	1	2	0	1	2	3	4	0	4	3	0	4	3	2	0	2	0	0	0	4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	1	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	5	1	2	3	4	6	6	6	3	3	0	0	3	0	1	4	2	3	3	2	0	6	2	4	2	1	1	1	3	1	3	0	3	1	4	4	1	3	4	1	3	0	0	0	3
FALSE	0	1	0	2	0	3	2	1	0	1	0	0	2	2	1	1	3	1	0	0	4	3	6	0	4	3	0	0	3	4	2	2	1	0	0	0	1	3	3	4	4	0	0	0	3	4	1	0	0	5	3	1	1	2	4	0	3	9	4	2	3	19	3	12	11	10	4	4	9	6	15	0	4	5	6	0	4	3	2	4	9	0	0	3	8	6	10	10	4	5	1	10	4	14	4	3	0	3	2	3	0	2	3	3	1	2	2	2	2	2	0	0	2	2	2	2	3	2	2	0	3	2	2	1	1	3	1	2	1	0	0	1	2	3	3	3	4	2	1	2	2	2	1	2
FALSE	1	2	0	0	0	0	1	2	2	4	3	0	0	1	0	3	2	1	4	3	2	0	10	0	0	2	0	1	0	3	1	1	0	0	0	0	2	3	3	0	0	0	2	0	2	2	2	0	0	4	2	4	0	0	3	0	3	2	4	0	0	3	3	1	0	0	0	2	0	0	0	0	2	0	0	1	0	2	1	0	2	0	0	2	1	1	3	0	3	0	4	1	2	2	0	1	0	3	1	4	0	1	2	2	2	5	3	1	1	0	0	0	1	0	3	2	0	0	0	0	5	0	1	2	0	2	2	2	1	0	0	2	2	6	4	1	2	0	3	1	2	2	1	0
TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	4	2	2	0	2	1	0	0	0	6
FALSE	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	1	2	1	1	1	0	0	0	1	1	0	2	0	0	0	2	1	6	0	4	2	0	0	0	0	3	5	0	2	1	0	1	0	0	0	1	0	0	0	2	0	0	0	2	3	0	0	1	2	4	3	3	0	1	0	0	0	2	1	1	1	0	1	1	1	3	0	2	2	0	1	1	0	0	0	0	3	2	0	1	1	1	0	0	1	0	0	0	0	1	2	4	2	1	0	0	0	3	1	1
